method,seed,policy,split,amplitude,n_directions,S_mean,S_direction_sd,S_min,S_max
plain,4,recalibrated,test_probe,0.05,20,0.02242002029418948,0.006799578276309405,0.0129584045410156,0.04115785217285162
plain,4,recalibrated,test_probe,0.1,20,0.09528635940551762,0.02171139019351211,0.06267515563964854,0.15395544433593755
plain,4,recalibrated,test_probe,0.2,20,0.42071414566040033,0.07961443177920835,0.26659716796875,0.6343254699707033
plain,4,recalibrated,test_probe,0.25,20,0.6793300796508788,0.11586588463467813,0.4318049621582032,0.9432066345214845
plain,4,recalibrated,train_probe,0.025,20,0.013447791671752928,0.002363957156953939,0.009154743194580095,0.018311786651611317
plain,4,recalibrated,train_probe,0.05,20,0.051465959930419934,0.008641516757587897,0.035725006103515644,0.06937169647216795
plain,4,recalibrated,train_probe,0.1,20,0.19197876052856447,0.03037597672857728,0.13459474945068362,0.26008746337890626
plain,4,recalibrated,train_probe,0.2,20,0.6867645973205566,0.09862709873376656,0.4886979522705078,0.91924267578125
plain,4,recalibrated,train_probe,0.25,20,1.0211390838623047,0.13823965119076495,0.7215596923828125,1.3254972229003905
plain,4,saved,test_probe,0.025,20,0.03003549118041997,0.014445927376371518,0.010021697998046863,0.06959072875976569
plain,4,saved,test_probe,0.05,20,0.12699744567871102,0.05984680365744647,0.04780216979980467,0.3041371765136721
plain,4,saved,test_probe,0.1,20,0.5711698097229005,0.25728321526421993,0.23751269531250008,1.3414205322265627
plain,4,saved,test_probe,0.2,20,2.7496309432983397,1.0018445724737242,1.2365108642578124,4.6440783081054695
plain,4,saved,test_probe,0.25,20,4.453364620971679,1.52217689952717,2.146521789550781,7.433858337402344
plain,4,saved,train_probe,0.025,20,0.0379118444442749,0.012104745602846762,0.0223524055480957,0.07552417755126953
plain,4,saved,train_probe,0.05,20,0.15873204402923585,0.05435343375075167,0.09206915283203126,0.33108198547363277
plain,4,saved,train_probe,0.1,20,0.6979450706481933,0.25448161862551266,0.37293284606933597,1.4713568267822268
plain,4,saved,train_probe,0.2,20,3.103362031555176,1.0146373780523794,1.569173355102539,5.021336807250976
plain,4,saved,train_probe,0.25,20,4.904269625854492,1.5471361494719307,2.5845876007080077,7.913531387329102
resolution_max_b1,0,recalibrated,test_probe,0.025,20,0.005587055969238264,0.0010809080038295792,0.0028193817138670862,0.007286895751953182
resolution_max_b1,0,recalibrated,test_probe,0.05,20,0.021602412414550777,0.003752428925045114,0.0133469543457031,0.028202331542968695
resolution_max_b1,0,recalibrated,test_probe,0.1,20,0.09012813644409176,0.014977944240440556,0.06524191284179692,0.11810379028320317
resolution_max_b1,0,recalibrated,test_probe,0.2,20,0.3909028099060059,0.06454828035570957,0.2641952514648438,0.521802047729492
resolution_max_b1,0,recalibrated,test_probe,0.25,20,0.6153166976928711,0.08859611170171412,0.42960366821289053,0.76856787109375
resolution_max_b1,0,recalibrated,train_probe,0.025,20,0.008495226669311531,0.0016587142566298094,0.006512695312499983,0.01277688598632809
resolution_max_b1,0,recalibrated,train_probe,0.05,20,0.033060627365112304,0.005642139893199759,0.025464660644531234,0.04883214569091798
resolution_max_b1,0,recalibrated,train_probe,0.1,20,0.1276066207885742,0.018339762324247267,0.09797935485839843,0.16858524322509766
resolution_max_b1,0,recalibrated,train_probe,0.2,20,0.4836103637695312,0.06313882377788997,0.36089933776855476,0.628531723022461
resolution_max_b1,0,recalibrated,train_probe,0.25,20,0.7372964172363281,0.08729702930883941,0.5516880645751954,0.9166005401611328
resolution_max_b1,0,saved,test_probe,0.025,20,0.020456007385253917,0.005866977271572381,0.012409545898437457,0.040424377441406256
